GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
QA-Automation,com.HRViewTimeSheet.page,H02_AssignManagerApprover,141,0,10,0,45,0,13,0,8,0
QA-Automation,com.HRViewTimeSheet.page,H04_HrManageDeletePage,33,0,0,0,13,0,3,0,3,0
QA-Automation,com.HRViewTimeSheet.page,H01_LoginPage,133,0,8,0,48,0,13,0,9,0
QA-Automation,com.HRViewTimeSheet.page,H03_HrManageEmployeePage,33,0,0,0,13,0,3,0,3,0
QA-Automation,com.TimeSheet.utils,Logs,17,24,0,0,7,11,4,5,4,5
QA-Automation,com.TimeSheet.utils,OptionManager,72,3,0,0,14,1,2,1,2,1
QA-Automation,com.TimeSheet.utils,ConfigReader,47,42,2,0,15,12,10,7,9,7
QA-Automation,com.TimeSheet.utils,CommonUtils,307,303,16,16,69,83,18,17,10,9
QA-Automation,com.TimeSheet.utils,WebDriverManager,6,54,3,7,2,16,4,4,1,2
QA-Automation,com.TimeSheet.utils,BrowserManager,47,8,4,0,13,2,5,1,3,1
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM12_BulkRejectedTimesheetPage,110,0,6,0,41,0,8,0,5,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM10_ManagerEditTimesheetPage,108,0,2,0,42,0,9,0,8,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM01_LoginPage,168,0,0,0,70,0,13,0,13,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM15_ReportsTimesheetSubmissionReportPage,69,0,0,0,24,0,6,0,6,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM04_VerifyManagerSubmittedTimesheetandApproveinAdminViewPage,91,0,0,0,34,0,6,0,6,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM19_RejectManagerCurrentWeekTimesheetFromAdminPage,81,0,0,0,30,0,4,0,4,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM02_CreateCurrentWeekTimeSheetPage,128,0,0,0,47,0,10,0,10,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM06_CreatePreviousWeekTimesheetPage,123,0,2,0,47,0,9,0,8,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM20_RejectManagerPreviousWeekTimesheetFromAdminPage,92,0,2,0,34,0,5,0,4,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM21_DeleteTimesheetPage,216,0,6,0,77,0,12,0,9,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM09_ManagerDraftTimesheetPage,86,0,4,0,32,0,6,0,4,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM11_BulkApprovedTimesheetPage,145,0,8,0,54,0,10,0,6,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM14_VerifyManagerRejectedTimesheetForEmployeePage,115,0,6,0,41,0,7,0,4,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM16_ReportsTimesheetDetailsReportPage,73,0,0,0,26,0,6,0,6,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM07_VerifyManagerSubmittedTimesheetandRejectinAdminViewPage,125,0,2,0,45,0,7,0,6,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM13_VerifyManagerApproveTimesheetForEmployeePage,92,0,4,0,33,0,6,0,4,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM05_VerifyManagerApprovedTimesheetPage,52,0,0,0,21,0,5,0,5,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM03_PendingTimesheetPage,62,0,0,0,22,0,5,0,5,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM08_VerifyManagerRejectedTimesheetPage,52,0,0,0,21,0,5,0,5,0
QA-Automation,com.ReportingManagerViewTimeSheet.page,PM17_ManagerExceededTimesheetHoursPage,90,0,2,0,35,0,7,0,6,0
QA-Automation,com.AdminViewTimeSheet.page,PA04_CreateTimeSheetPage,194,0,10,0,72,0,19,0,14,0
QA-Automation,com.AdminViewTimeSheet.page,PA10_RejectSelftFromApprovePage,54,0,0,0,22,0,5,0,5,0
QA-Automation,com.AdminViewTimeSheet.page,PA09_AssignManagerApprover,141,0,10,0,45,0,13,0,8,0
QA-Automation,com.AdminViewTimeSheet.page,PA13_AdminManageEmployeePage,33,0,0,0,13,0,3,0,3,0
QA-Automation,com.AdminViewTimeSheet.page,PA02_TimeSheetManagementPage,49,0,0,0,21,0,5,0,5,0
QA-Automation,com.AdminViewTimeSheet.page,PA06_RejectedTimeSheetPage,135,0,0,0,54,0,9,0,9,0
QA-Automation,com.AdminViewTimeSheet.page,PA11_DeleteTimesheetRecords,96,0,2,0,34,0,8,0,7,0
QA-Automation,com.AdminViewTimeSheet.page,PA05_ApprovedTimeSheetPage,122,0,4,0,46,0,11,0,9,0
QA-Automation,com.AdminViewTimeSheet.page,PA03_PendingTimeSheetPage,35,0,0,0,13,0,3,0,3,0
QA-Automation,com.AdminViewTimeSheet.page,PA14_AdminManageDeletePage,33,0,0,0,13,0,3,0,3,0
QA-Automation,com.AdminViewTimeSheet.page,PA12_AdminCategoryDashboardPage,33,0,0,0,13,0,3,0,3,0
QA-Automation,com.AdminViewTimeSheet.page,PA09_AdminReportsPage,295,0,20,0,98,0,25,0,15,0
